Begin,End,Label,Type,Speaker
5.98,6.06,i,words,corpus
6.06,6.3,think,words,corpus
6.3,6.4,the,words,corpus
6.4,6.82,worst,words,corpus
6.82,7.37,food,words,corpus
7.41,7.62,that,words,corpus
7.62,7.81,would,words,corpus
7.81,7.96,be,words,corpus
7.96,8.69,liquefied,words,corpus
8.69,8.89,and,words,corpus
8.89,9.12,drank,words,corpus
9.12,9.27,through,words,corpus
9.27,9.34,a,words,corpus
9.34,9.87,straw,words,corpus
10.52,10.9,would,words,corpus
11.17,11.8,be,words,corpus
12.66,13.36,something,words,corpus
13.36,13.97,meaty,words,corpus
14.21,14.49,because,words,corpus
14.49,14.55,i,words,corpus
14.55,14.61,do,words,corpus
14.61,14.73,not,words,corpus
14.73,14.93,think,words,corpus
14.93,15.06,that,words,corpus
15.06,15.25,would,words,corpus
15.25,15.98,liquefy,words,corpus
15.98,16.4,well,words,corpus
16.4,16.64,like,words,corpus
16.64,16.71,i,words,corpus
16.71,16.92,cannot,words,corpus
16.92,17.4,imagine,words,corpus
17.4,17.8,eating,words,corpus
18.01,18.48,drinking,words,corpus
18.48,18.52,a,words,corpus
18.52,19.32,steak,words,corpus
19.97,20.09,but,words,corpus
20.09,20.33,maybe,words,corpus
20.33,20.36,i,words,corpus
20.36,20.41,will,words,corpus
20.41,20.71,feel,words,corpus
20.71,20.96,about,words,corpus
20.96,21.06,it,words,corpus
21.06,21.48,differently,words,corpus
21.48,21.62,when,words,corpus
21.62,21.63,i,words,corpus
21.63,21.73,am,words,corpus
21.77,22.14,old,words,corpus
31.09,31.26,i,words,corpus
31.26,31.9,think,words,corpus
31.95,32.32,that,words,corpus
32.35,32.45,i,words,corpus
32.45,32.66,can,words,corpus
32.66,33.01,do,words,corpus
33.05,33.41,almost,words,corpus
33.46,33.99,anything,words,corpus
34.14,34.57,better,words,corpus
34.77,35.0,than,words,corpus
35.0,35.36,90,words,corpus
35.36,35.9,percent,words,corpus
35.9,36.11,of,words,corpus
36.11,36.22,the,words,corpus
36.22,36.67,people,words,corpus
36.67,37.22,because,words,corpus
37.46,37.58,as,words,corpus
37.58,37.65,i,words,corpus
37.65,37.87,look,words,corpus
37.87,38.25,around,words,corpus
38.25,38.62,me,words,corpus
38.62,38.77,and,words,corpus
38.77,38.84,i,words,corpus
38.84,39.36,see,words,corpus
39.78,39.88,the,words,corpus
39.88,40.36,people,words,corpus
40.36,40.49,and,words,corpus
40.49,41.29,humanity,words,corpus
41.29,41.41,and,words,corpus
41.41,41.54,the,words,corpus
41.58,42.01,actions,words,corpus
42.01,42.14,of,words,corpus
42.18,42.6,others,words,corpus
43.04,43.16,i,words,corpus
43.16,43.62,feel,words,corpus
43.62,44.0,that,words,corpus
44.0,44.34,i,words,corpus
44.41,44.63,am,words,corpus
44.77,45.07,just,words,corpus
45.07,45.38,better,words,corpus
45.38,45.59,than,words,corpus
45.59,45.96,everyone,words,corpus
45.96,46.33,else,words,corpus
54.45,54.53,the,words,corpus
54.53,54.79,most,words,corpus
54.79,55.37,amazing,words,corpus
55.37,55.7,nature,words,corpus
55.7,56.24,place,words,corpus
56.24,56.46,that,words,corpus
56.46,56.49,i,words,corpus
56.49,56.72,have,words,corpus
56.72,56.95,been,words,corpus
56.95,57.39,to,words,corpus
57.98,58.94,definitely,words,corpus
58.94,59.17,has,words,corpus
59.17,59.27,to,words,corpus
59.27,59.6,be,words,corpus
59.6,59.73,in,words,corpus
59.73,60.18,canada,words,corpus
60.18,60.28,maybe,words,corpus
60.8,61.53,probably,words,corpus
61.87,62.21,even,words,corpus
62.21,62.8,quebec,words,corpus
62.8,63.35,have,words,corpus
63.45,63.71,been,words,corpus
63.71,63.97,going,words,corpus
63.97,64.08,in,words,corpus
64.08,64.46,the,words,corpus
64.46,64.76,eastern,words,corpus
64.76,65.66,townships,words,corpus
65.66,65.91,and,words,corpus
65.91,66.35,walking,words,corpus
66.35,66.74,through,words,corpus
66.74,66.84,the,words,corpus
66.84,67.63,forest,words,corpus
67.63,67.82,and,words,corpus
67.82,68.08,seeing,words,corpus
68.08,68.21,the,words,corpus
68.21,68.51,different,words,corpus
68.55,69.11,animals,words,corpus
69.11,69.35,running,words,corpus
69.35,69.85,around,words,corpus
69.85,69.98,there,words,corpus
69.98,70.19,was,words,corpus
70.19,70.42,really,words,corpus
70.42,70.47,a,words,corpus
70.47,70.72,great,words,corpus
70.72,71.41,experience,words,corpus
71.41,71.62,and,words,corpus
71.62,71.79,i,words,corpus
72.2,72.37,was,words,corpus
72.37,72.53,really,words,corpus
72.53,72.85,happy,words,corpus
72.85,72.98,to,words,corpus
72.98,73.12,be,words,corpus
73.12,73.28,there,words,corpus
73.28,73.47,when,words,corpus
73.47,73.54,i,words,corpus
73.54,73.66,was,words,corpus
73.66,73.91,there,words,corpus
83.78,83.91,the,words,corpus
83.91,84.26,next,words,corpus
84.26,84.92,thing,words,corpus
84.95,85.07,to,words,corpus
85.07,85.26,be,words,corpus
85.26,86.33,obsolete,words,corpus
87.48,87.98,oh,words,corpus
87.98,88.18,it,words,corpus
88.18,88.34,is,words,corpus
88.34,88.72,hard,words,corpus
88.72,89.01,to,words,corpus
